Device_id,Model Name,Model ID,Fusion Op,Original Ops,Memory Input(KB),Memory Output(KB),Memory Weight(KB),Memory Workspace(KB),Memory Total(KB)
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.6/m.0/m/m.1/cv2/conv/Conv/model.6/m.0/m/m.1/cv2/act/Sigmoid/model.6/m.0/m/m.1/cv2/act/Mul,/model.6/m.0/m/m.1/cv2/conv/Conv;/model.6/m.0/m/m.1/cv2/act/Sigmoid;/model.6/m.0/m/m.1/cv2/act/Mul,118.15625,100.03125,18.125,0.0,236.3125
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.6/m.0/cv2/conv/Conv/model.6/m.0/cv2/act/Sigmoid/model.6/m.0/cv2/act/Mul,/model.6/m.0/cv2/conv/Conv;/model.6/m.0/cv2/act/Sigmoid;/model.6/m.0/cv2/act/Mul,204.15625,100.03125,4.125,0.0,308.3125
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.6/m.0/cv3/conv/Conv/model.6/m.0/cv3/act/Sigmoid/model.6/m.0/cv3/act/Mul,/model.6/m.0/cv3/conv/Conv;/model.6/m.0/cv3/act/Sigmoid;/model.6/m.0/cv3/act/Mul,208.21875,200.03125,8.1875,0.0,416.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.6/cv2/conv/Conv/model.6/cv2/act/Sigmoid/model.6/cv2/act/Mul,/model.6/cv2/conv/Conv;/model.6/cv2/act/Sigmoid;/model.6/cv2/act/Mul,648.34375,400.03125,48.3125,0.0,1096.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.7/conv/Conv/model.7/act/Sigmoid/model.7/act/Mul,/model.7/conv/Conv;/model.7/act/Sigmoid;/model.7/act/Mul,976.59375,200.03125,576.5625,0.0,1753.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/cv1/conv/Conv/model.8/cv1/act/Sigmoid/model.8/cv1/act/Mul,/model.8/cv1/conv/Conv;/model.8/cv1/act/Sigmoid;/model.8/cv1/act/Mul,328.59375,200.03125,128.5625,0.0,657.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.8/Split_SplitV_50,/model.8/Split,200.03125,200.0625,0.0,0.0,400.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/cv1/conv/Conv/model.8/m.0/cv1/act/Sigmoid/model.8/m.0/cv1/act/Mul,/model.8/m.0/cv1/conv/Conv;/model.8/m.0/cv1/act/Sigmoid;/model.8/m.0/cv1/act/Mul,116.21875,50.03125,16.1875,0.0,182.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/m/m.0/cv1/conv/Conv/model.8/m.0/m/m.0/cv1/act/Sigmoid/model.8/m.0/m/m.0/cv1/act/Mul,/model.8/m.0/m/m.0/cv1/conv/Conv;/model.8/m.0/m/m.0/cv1/act/Sigmoid;/model.8/m.0/m/m.0/cv1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/m/m.0/cv2/conv/Conv/model.8/m.0/m/m.0/cv2/act/Sigmoid/model.8/m.0/m/m.0/cv2/act/Mul,/model.8/m.0/m/m.0/cv2/conv/Conv;/model.8/m.0/m/m.0/cv2/act/Sigmoid;/model.8/m.0/m/m.0/cv2/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
